2026-03-09 20:27:12.158862,-149936.83,-140433.23,16877.53,15886.19,-4811.08,658.75,20819.04,19400.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.270836,-153452.94,-144919.76,17477.54,16408.95,-5239.96,484.94,21336.71,19952.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.382599,-160058.69,-150450.21,9.39,-634632.95,-599506.47,73298.34,68794.11,-21856.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.494231,-165635.54,-156304.67,19579.86,18442.07,-5334.38,818.34,22970.17,21652.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.605860,-169514.82,-161044.4,20211.52,18994.87,-5727.05,679.4,23517.88,22243.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.717484,-175249.38,-166154.81,21166.92,19904.41,-5876.99,753.43,24254.95,23017.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.829152,-182143.46,-172378.88,22371.77,21091.82,-5824.42,1016.83,25171.73,23968.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:12.941202,-186778.59,-177828.05,23188.5,21847.67,-6073.59,1005.56,25835.31,24673.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:13.052759,-190942.45,-182374.4,23854.76,22443.39,-6449.91,881.64,26391.06,25269.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 20:27:13.164928,-197539.07,-188036.81,24966.54,23524.58,-6476.46,1074.76,27234.08,26148.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
